number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
0,0.4492154462516062,2024-06-22 13:00:05.723377,2024-06-22 13:00:53.199684,0 days 00:00:47.476307,128,128,256,0.1,32,0.00012698297515914585,4,3,COMPLETE
1,0.3887255363568373,2024-06-22 13:00:53.201765,2024-06-22 13:02:02.659676,0 days 00:01:09.457911,64,64,128,0.30000000000000004,256,5.4023658490644466e-05,4,2,COMPLETE
2,-0.0004816470072830719,2024-06-22 13:02:02.664952,2024-06-22 13:04:30.288227,0 days 00:02:27.623275,128,64,32,0.2,64,2.6351053090747596e-06,4,2,COMPLETE
3,0.14733990244659761,2024-06-22 13:04:30.289945,2024-06-22 13:06:14.984429,0 days 00:01:44.694484,64,256,32,0.2,256,1.7318537990956092e-06,8,2,COMPLETE
4,0.2961712387720252,2024-06-22 13:06:14.986115,2024-06-22 13:07:03.323583,0 days 00:00:48.337468,64,128,32,0.5,64,0.0003198566045556157,2,2,COMPLETE
5,0.3160329094693236,2024-06-22 13:07:03.324966,2024-06-22 13:07:23.942838,0 days 00:00:20.617872,256,64,64,0.4,32,0.004882306861488424,8,3,COMPLETE
6,0.4328990076011546,2024-06-22 13:07:23.944162,2024-06-22 13:07:47.848856,0 days 00:00:23.904694,256,128,64,0.30000000000000004,32,0.0003484899354930026,8,4,COMPLETE
7,0.3977170358419044,2024-06-22 13:07:47.850700,2024-06-22 13:09:14.716234,0 days 00:01:26.865534,64,128,32,0.5,32,2.878298923006547e-05,4,4,COMPLETE
8,-0.4076142749244443,2024-06-22 13:09:14.717726,2024-06-22 13:11:26.864157,0 days 00:02:12.146431,256,256,256,0.4,256,2.1508312073243052e-06,8,4,COMPLETE
9,0.49412864697000575,2024-06-22 13:11:26.865443,2024-06-22 13:13:13.306023,0 days 00:01:46.440580,64,256,256,0.4,128,0.0009422981429727575,8,2,COMPLETE
10,-0.15701233558833516,2024-06-22 13:13:13.307796,2024-06-22 13:16:09.450915,0 days 00:02:56.143119,32,32,256,0.4,128,0.006129248472736573,2,3,COMPLETE
11,0.4075129297164813,2024-06-22 13:16:09.452361,2024-06-22 13:16:48.375282,0 days 00:00:38.922921,128,256,256,0.1,128,0.0008391042924120652,4,3,COMPLETE
12,0.2759963159550726,2024-06-22 13:16:48.376987,2024-06-22 13:18:17.692096,0 days 00:01:29.315109,128,32,256,0.1,128,1.8875825020317666e-05,8,3,COMPLETE
13,0.24435413945004386,2024-06-22 13:18:17.693937,2024-06-22 13:19:36.895414,0 days 00:01:19.201477,32,256,256,0.2,32,0.0010024602632251012,4,2,COMPLETE
14,-0.09410260089515043,2024-06-22 13:19:36.896761,2024-06-22 13:20:28.036825,0 days 00:00:51.140064,128,128,128,0.4,128,0.0002654096261986713,2,3,COMPLETE
15,0.22180104455580132,2024-06-22 13:20:28.038164,2024-06-22 13:22:32.106911,0 days 00:02:04.068747,64,256,256,0.1,32,0.001783741959556054,8,3,COMPLETE
16,0.19005586460902718,2024-06-22 13:22:32.108259,2024-06-22 13:23:05.295406,0 days 00:00:33.187147,128,128,256,0.30000000000000004,128,0.00011286547828691571,4,2,COMPLETE
17,0.4774371076024957,2024-06-22 13:23:05.297355,2024-06-22 13:25:53.570863,0 days 00:02:48.273508,32,32,256,0.2,64,7.85727242622581e-06,8,4,COMPLETE
18,0.4824967185494507,2024-06-22 13:25:53.572336,2024-06-22 13:32:11.377561,0 days 00:06:17.805225,32,32,64,0.2,64,9.972835848709311e-06,8,4,COMPLETE
19,0.24820606838859316,2024-06-22 13:32:11.379107,2024-06-22 13:34:18.327061,0 days 00:02:06.947954,32,32,64,0.5,64,1.2755475955870159e-05,8,4,COMPLETE
20,0.4872643537193505,2024-06-22 13:34:18.328449,2024-06-22 13:41:40.920433,0 days 00:07:22.591984,32,32,64,0.30000000000000004,64,4.765836302396805e-05,8,4,COMPLETE
21,0.4703482799553529,2024-06-22 13:41:40.921987,2024-06-22 13:44:30.747665,0 days 00:02:49.825678,32,32,64,0.30000000000000004,64,6.284494918592135e-06,8,4,COMPLETE
22,0.4865524610898869,2024-06-22 13:44:30.749254,2024-06-22 13:48:02.235321,0 days 00:03:31.486067,32,32,64,0.4,64,3.772038440764968e-05,8,4,COMPLETE
23,0.45337961782200525,2024-06-22 13:48:02.236719,2024-06-22 13:52:16.623773,0 days 00:04:14.387054,32,32,64,0.4,64,4.298931796406041e-05,8,4,COMPLETE
24,0.49130419722478896,2024-06-22 13:52:16.625276,2024-06-22 13:56:49.452048,0 days 00:04:32.826772,32,32,64,0.4,64,7.257847148561873e-05,8,4,COMPLETE
25,0.4553410634068335,2024-06-22 13:56:49.453406,2024-06-22 13:58:04.187496,0 days 00:01:14.734090,64,256,64,0.30000000000000004,128,8.362496604250199e-05,8,4,COMPLETE
26,0.5134909454710329,2024-06-22 13:58:04.188974,2024-06-22 14:04:32.823567,0 days 00:06:28.634593,32,32,128,0.5,64,0.0001894533499944451,2,3,COMPLETE
27,0.18892800572005683,2024-06-22 14:04:32.825011,2024-06-22 14:09:13.623225,0 days 00:04:40.798214,32,32,128,0.5,64,0.0028034417438574386,2,2,COMPLETE
28,0.5004870579134553,2024-06-22 14:09:13.624586,2024-06-22 14:11:59.605066,0 days 00:02:45.980480,64,256,128,0.5,128,0.0006482532532190347,2,3,COMPLETE
29,0.45168349636981564,2024-06-22 14:11:59.606428,2024-06-22 14:17:15.731969,0 days 00:05:16.125541,64,256,128,0.5,128,0.0006816762083127704,2,3,COMPLETE
30,0.45254879440204343,2024-06-22 14:17:15.733630,2024-06-22 14:18:33.630396,0 days 00:01:17.896766,64,256,128,0.5,128,0.0001694083623126293,2,3,COMPLETE
