number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
0,,2024-06-22 12:58:00.445953,2024-06-22 13:04:04.305519,0 days 00:06:03.859566,32,128,32,0.4,32,0.008849083584125927,8,3,FAIL
1,0.002285133103887451,2024-06-22 13:04:04.306550,2024-06-22 13:06:34.701283,0 days 00:02:30.394733,32,128,256,0.5,64,0.0006329924250366574,2,4,COMPLETE
2,0.4982678207554539,2024-06-22 13:06:34.702847,2024-06-22 13:10:19.084865,0 days 00:03:44.382018,64,32,32,0.4,128,1.17791841108381e-05,2,2,COMPLETE
3,0.29878167153539076,2024-06-22 13:10:19.086647,2024-06-22 13:11:23.135974,0 days 00:01:04.049327,64,32,128,0.1,128,0.005931391545008822,2,3,COMPLETE
4,0.829158431144336,2024-06-22 13:11:23.137660,2024-06-22 13:13:10.347326,0 days 00:01:47.209666,64,32,128,0.2,64,0.000897211222056889,8,3,COMPLETE
5,0.731405151459301,2024-06-22 13:13:10.348667,2024-06-22 13:14:52.491763,0 days 00:01:42.143096,256,32,64,0.4,32,0.0002858732824528291,8,4,COMPLETE
6,0.8105725102961728,2024-06-22 13:14:52.493129,2024-06-22 13:15:47.249115,0 days 00:00:54.755986,256,256,256,0.30000000000000004,256,0.00045813015073032666,8,3,COMPLETE
7,0.5045779929881573,2024-06-22 13:15:47.250920,2024-06-22 13:16:21.180119,0 days 00:00:33.929199,256,128,32,0.2,256,7.150636690983031e-05,2,3,COMPLETE
8,0.7670451944353797,2024-06-22 13:16:21.181767,2024-06-22 13:28:57.366825,0 days 00:12:36.185058,32,64,32,0.4,32,0.0003307162125691935,4,4,COMPLETE
9,,2024-06-22 13:28:57.368197,2024-06-22 13:32:31.849263,0 days 00:03:34.481066,64,64,128,0.1,128,0.0065234031904247754,8,4,FAIL
10,0.814479621752978,2024-06-22 13:32:31.850243,2024-06-22 13:33:44.040554,0 days 00:01:12.190311,128,256,128,0.30000000000000004,128,0.0006458751649875543,8,2,COMPLETE
11,0.6745264940692179,2024-06-22 13:33:44.042138,2024-06-22 13:43:39.059391,0 days 00:09:55.017253,32,256,64,0.1,256,9.773302208950076e-06,4,3,COMPLETE
12,0.4903314024098439,2024-06-22 13:43:39.060701,2024-06-22 13:44:14.707480,0 days 00:00:35.646779,64,64,128,0.2,64,1.2229285040583979e-06,8,2,COMPLETE
