number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
0,0.49544929138721977,2024-06-18 12:59:54.240410,2024-06-18 13:02:01.871200,0 days 00:02:07.630790,128,256,64,0.4,64,2.7850336279662092e-05,4,4,COMPLETE
1,0.20001466218715722,2024-06-18 13:02:01.872778,2024-06-18 13:03:12.896798,0 days 00:01:11.024020,32,32,256,0.2,128,0.004034831525693848,2,2,COMPLETE
2,0.5135017588729185,2024-06-18 13:03:12.898186,2024-06-18 13:04:51.841000,0 days 00:01:38.942814,128,64,128,0.30000000000000004,256,6.6967246411467354e-06,4,4,COMPLETE
3,0.8195424018539005,2024-06-18 13:04:51.845180,2024-06-18 13:14:14.261453,0 days 00:09:22.416273,32,128,128,0.1,64,1.9400917893880092e-05,2,3,COMPLETE
4,0.8530613371836878,2024-06-18 13:14:14.262760,2024-06-18 13:26:16.832414,0 days 00:12:02.569654,32,256,32,0.1,256,0.0012775945162575915,8,4,COMPLETE
5,,2024-06-18 13:26:16.833919,2024-06-18 13:27:24.148287,0 days 00:01:07.314368,128,256,128,0.4,64,0.009311770935745124,2,3,FAIL
6,0.8593529121906246,2024-06-18 13:27:24.149375,2024-06-18 13:30:24.011996,0 days 00:02:59.862621,128,64,256,0.1,32,0.0004402952660329367,4,4,COMPLETE
7,0.5142601076874379,2024-06-18 13:30:24.013388,2024-06-18 13:36:07.601205,0 days 00:05:43.587817,64,128,32,0.30000000000000004,128,1.0666440921286987e-05,8,4,COMPLETE
8,0.7864607945739926,2024-06-18 13:36:07.602744,2024-06-18 13:40:46.875200,0 days 00:04:39.272456,64,32,64,0.4,64,0.0005301116283507198,4,4,COMPLETE
9,0.8037851940576618,2024-06-18 13:40:46.876785,2024-06-18 13:44:11.656034,0 days 00:03:24.779249,64,64,256,0.1,32,2.09390007454799e-05,4,2,COMPLETE
