number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
0,0.09223933250745885,2024-06-10 23:12:00.806579,2024-06-10 23:12:45.032786,0 days 00:00:44.226207,256,256,32,0.4,0.007552057083703259,4,2,COMPLETE
1,0.4803898520106671,2024-06-10 23:12:45.034087,2024-06-10 23:14:53.315767,0 days 00:02:08.281680,64,256,256,0.2,2.4739860753399758e-05,4,2,COMPLETE
2,0.47090793218365234,2024-06-10 23:14:53.317138,2024-06-10 23:16:07.408033,0 days 00:01:14.090895,64,256,256,0.2,9.653465112557046e-05,8,2,COMPLETE
3,0.41568561876745147,2024-06-10 23:16:07.409386,2024-06-10 23:17:19.140932,0 days 00:01:11.731546,128,128,128,0.2,2.673877966754698e-05,2,3,COMPLETE
4,0.43264602289912707,2024-06-10 23:17:19.142528,2024-06-10 23:19:14.448561,0 days 00:01:55.306033,64,128,128,0.1,4.498612736347148e-06,4,4,COMPLETE
5,-0.3995080262767925,2024-06-10 23:19:14.450104,2024-06-10 23:21:01.112600,0 days 00:01:46.662496,64,256,32,0.5,5.271071689127776e-05,4,4,COMPLETE
6,-0.1734803953446467,2024-06-10 23:21:01.113755,2024-06-10 23:24:46.196878,0 days 00:03:45.083123,64,32,64,0.2,2.358973471228351e-06,8,3,COMPLETE
7,,2024-06-10 23:24:46.198409,2024-06-10 23:33:24.999351,0 days 00:08:38.800942,32,256,128,0.30000000000000004,0.0030977465772874225,4,4,FAIL
8,0.4666220855850262,2024-06-10 23:33:25.000484,2024-06-10 23:33:58.934768,0 days 00:00:33.934284,128,32,32,0.5,0.0001463795542612146,4,2,COMPLETE
9,0.43379463361763154,2024-06-10 23:33:58.936493,2024-06-10 23:34:31.441100,0 days 00:00:32.504607,256,256,256,0.5,9.11525579193331e-05,2,3,COMPLETE
10,0.4335424968358382,2024-06-10 23:34:31.442720,2024-06-10 23:36:18.204976,0 days 00:01:46.762256,64,128,64,0.4,0.0003027939630900222,8,2,COMPLETE
11,0.09770628268227037,2024-06-10 23:36:18.206509,2024-06-10 23:42:18.192475,0 days 00:05:59.985966,32,64,32,0.4,0.002876899956249952,4,4,COMPLETE
12,-0.19536516671928383,2024-06-10 23:42:18.193812,2024-06-10 23:49:17.840438,0 days 00:06:59.646626,64,32,64,0.30000000000000004,1.1426933425221853e-06,8,4,COMPLETE
13,-0.23880070094049055,2024-06-10 23:49:17.841775,2024-06-10 23:57:06.035087,0 days 00:07:48.193312,32,32,64,0.30000000000000004,1.5894655611129575e-06,8,4,COMPLETE
14,0.45734769176176604,2024-06-10 23:57:06.036434,2024-06-11 00:00:27.927934,0 days 00:03:21.891500,32,64,64,0.30000000000000004,1.15582284787957e-05,8,4,COMPLETE
15,0.2873577931863994,2024-06-11 00:00:27.929393,2024-06-11 00:05:10.960537,0 days 00:04:43.031144,32,32,32,0.5,0.0006940310290762875,2,4,COMPLETE
16,0.456656589137506,2024-06-11 00:05:10.961774,2024-06-11 00:07:13.028584,0 days 00:02:02.066810,32,256,64,0.1,4.756523796000637e-06,4,4,COMPLETE
17,0.45088086843846975,2024-06-11 00:07:13.029854,2024-06-11 00:09:21.487217,0 days 00:02:08.457363,32,32,32,0.4,0.0010843962349554588,8,3,COMPLETE
18,-0.06504678995257365,2024-06-11 00:09:21.488486,2024-06-11 00:09:46.747758,0 days 00:00:25.259272,256,64,128,0.30000000000000004,2.1592564304746546e-05,4,4,COMPLETE
19,0.04382850630749577,2024-06-11 00:09:46.748848,2024-06-11 00:10:58.815095,0 days 00:01:12.066247,128,32,64,0.5,8.007723821186332e-06,8,3,COMPLETE
20,0.10214403270905231,2024-06-11 00:10:58.816931,2024-06-11 00:13:42.889264,0 days 00:02:44.072333,32,256,32,0.4,1.6484965612976354e-06,2,4,COMPLETE
21,0.454526303407666,2024-06-11 00:13:42.890729,2024-06-11 00:15:46.575389,0 days 00:02:03.684660,32,256,32,0.30000000000000004,4.828526771747727e-05,8,4,COMPLETE
22,-0.3915889442420543,2024-06-11 00:15:46.576633,2024-06-11 00:22:46.900381,0 days 00:07:00.323748,64,32,64,0.30000000000000004,1.1149046510318206e-06,8,4,COMPLETE
23,0.4067553339849172,2024-06-11 00:22:46.901698,2024-06-11 00:29:45.768050,0 days 00:06:58.866352,64,32,64,0.30000000000000004,1.009992414362283e-06,8,4,COMPLETE
24,0.015881976207381444,2024-06-11 00:29:45.769355,2024-06-11 00:33:37.155558,0 days 00:03:51.386203,64,32,64,0.2,2.866524722555493e-06,8,4,COMPLETE
25,0.01863376198249847,2024-06-11 00:33:37.156845,2024-06-11 00:35:09.457029,0 days 00:01:32.300184,64,32,64,0.4,1.0280888454352743e-05,8,3,COMPLETE
26,-0.17545151285586977,2024-06-11 00:35:09.458636,2024-06-11 00:39:01.508895,0 days 00:03:52.050259,64,32,64,0.1,3.7873925401478115e-06,4,4,COMPLETE
27,0.4392689903295135,2024-06-11 00:39:01.510404,2024-06-11 00:39:28.915333,0 days 00:00:27.404929,128,128,256,0.30000000000000004,0.00025260617403142816,8,3,COMPLETE
28,0.212815148818633,2024-06-11 00:39:28.917093,2024-06-11 00:40:09.449692,0 days 00:00:40.532599,256,64,128,0.5,8.124562218528784e-06,8,4,COMPLETE
29,-0.017226067726145156,2024-06-11 00:40:09.451031,2024-06-11 00:47:10.673284,0 days 00:07:01.222253,64,32,64,0.4,1.7408190201261798e-06,2,4,COMPLETE
30,0.22939972984923146,2024-06-11 00:47:10.674932,2024-06-11 00:47:54.512350,0 days 00:00:43.837418,256,256,32,0.4,0.004049147746964886,4,4,COMPLETE
31,,2024-06-11 00:47:54.513516,2024-06-11 00:49:48.385469,0 days 00:01:53.871953,32,256,32,0.2,0.008270971441138905,4,3,FAIL
32,0.46610198826826293,2024-06-11 00:49:48.386661,2024-06-11 00:53:21.979710,0 days 00:03:33.593049,32,256,32,0.2,1.5461979405676365e-05,4,3,COMPLETE
33,-0.002840960589609562,2024-06-11 00:53:21.980807,2024-06-11 01:00:20.186160,0 days 00:06:58.205353,64,32,64,0.30000000000000004,1.1386976681095985e-06,8,4,COMPLETE
