number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_feed_forward_size,params_hidden_size,params_lr,params_num_blocks,params_num_heads,state
0,0.02337075635252229,2024-05-07 15:18:20.471677,2024-05-07 15:19:55.949214,0 days 00:01:35.477537,128,0.1,256,32,0.00014158191472003455,3,4,COMPLETE
1,0.024677484480262166,2024-05-07 15:19:55.950237,2024-05-07 15:22:38.769992,0 days 00:02:42.819755,32,0.30000000000000004,256,24,0.000608303006907491,4,2,COMPLETE
2,0.023119598072731777,2024-05-07 15:22:38.771040,2024-05-07 15:25:01.768415,0 days 00:02:22.997375,256,0.30000000000000004,128,32,0.0010320836775760459,4,4,COMPLETE
3,0.02527396985978791,2024-05-07 15:25:01.769208,2024-05-07 15:25:49.189903,0 days 00:00:47.420695,64,0.30000000000000004,256,32,0.0006018956930104321,1,8,COMPLETE
4,0.023682010505931925,2024-05-07 15:25:49.190869,2024-05-07 15:27:43.671986,0 days 00:01:54.481117,128,0.30000000000000004,64,64,0.00017394412683450374,2,8,COMPLETE
5,0.023794004338837806,2024-05-07 15:27:43.673125,2024-05-07 15:30:21.780676,0 days 00:02:38.107551,256,0.30000000000000004,128,128,0.00011745948496295312,2,8,COMPLETE
6,0.02422495525195656,2024-05-07 15:30:21.781751,2024-05-07 15:31:28.191795,0 days 00:01:06.410044,128,0.4,128,24,0.00036717864948300206,4,2,COMPLETE
7,0.02400242108627256,2024-05-07 15:31:28.192800,2024-05-07 15:36:55.038948,0 days 00:05:26.846148,128,0.30000000000000004,64,256,0.0001061504181525546,4,8,COMPLETE
8,0.023457581132198826,2024-05-07 15:36:55.040000,2024-05-07 15:38:27.943434,0 days 00:01:32.903434,64,0.1,128,64,9.573026988601754e-05,2,8,COMPLETE
9,0.02432382596148686,2024-05-07 15:38:27.944419,2024-05-07 15:40:55.983952,0 days 00:02:28.039533,64,0.4,64,64,3.78037666897977e-05,2,1,COMPLETE
10,0.02378608543603193,2024-05-07 15:40:55.984907,2024-05-07 15:42:14.381461,0 days 00:01:18.396554,256,0.2,512,32,0.004222163191792828,3,4,COMPLETE
11,0.022952119731122538,2024-05-07 15:42:14.382654,2024-05-07 15:43:37.400676,0 days 00:01:23.018022,256,0.1,256,32,0.0027040034982440723,3,4,COMPLETE
12,0.02417357691696712,2024-05-07 15:43:37.401727,2024-05-07 15:45:05.856440,0 days 00:01:28.454713,256,0.2,512,32,0.00308355696501809,3,4,COMPLETE
13,0.023170116756643568,2024-05-07 15:45:05.857223,2024-05-07 15:46:16.110465,0 days 00:01:10.253242,256,0.2,128,32,0.0018152766692554998,4,4,COMPLETE
14,0.03018934896127099,2024-05-07 15:46:16.111491,2024-05-07 15:48:28.894205,0 days 00:02:12.782714,256,0.1,256,128,0.008550840256128083,3,4,COMPLETE
15,0.023597282210313986,2024-05-07 15:48:28.894958,2024-05-07 15:57:35.403642,0 days 00:09:06.508684,32,0.2,128,256,0.0015980905496349067,4,1,COMPLETE
16,0.02331059714335771,2024-05-07 15:57:35.404974,2024-05-07 15:58:28.349414,0 days 00:00:52.944440,256,0.1,256,32,0.0010859544711724015,3,4,COMPLETE
17,0.027632853681487695,2024-05-07 15:58:28.350650,2024-05-07 16:00:10.947094,0 days 00:01:42.596444,256,0.4,512,32,0.007951082771598946,1,4,COMPLETE
18,0.023766980772571906,2024-05-07 16:00:10.949119,2024-05-07 16:02:49.411454,0 days 00:02:38.462335,256,0.2,128,32,1.4831336978352707e-05,4,4,COMPLETE
19,0.023498962706911708,2024-05-07 16:02:49.412350,2024-05-07 16:08:36.271431,0 days 00:05:46.859081,32,0.4,256,24,0.003486711495667891,3,1,COMPLETE
20,0.023602140690421776,2024-05-07 16:08:36.272587,2024-05-07 16:10:34.339764,0 days 00:01:58.067177,256,0.1,256,128,0.0007686500441385698,4,2,COMPLETE
21,0.023897433476079078,2024-05-07 16:10:34.340789,2024-05-07 16:13:10.211040,0 days 00:02:35.870251,256,0.2,128,32,0.001779081961174876,4,4,COMPLETE
22,0.022608357659053235,2024-05-07 16:13:10.212124,2024-05-07 16:15:24.513430,0 days 00:02:14.301306,256,0.2,128,32,0.0020029787807554606,4,4,COMPLETE
23,0.023068237606258618,2024-05-07 16:15:24.514415,2024-05-07 16:16:42.547466,0 days 00:01:18.033051,256,0.30000000000000004,128,32,0.00468221448120595,3,4,COMPLETE
24,0.02330066210457257,2024-05-07 16:16:42.548553,2024-05-07 16:17:59.378580,0 days 00:01:16.830027,256,0.1,128,32,0.005099923409344403,3,4,COMPLETE
25,0.023762694604340055,2024-05-07 16:17:59.379603,2024-05-07 16:21:50.423322,0 days 00:03:51.043719,256,0.2,128,256,0.002290391102579349,3,4,COMPLETE
26,0.023748759579445635,2024-05-07 16:21:50.424253,2024-05-07 16:23:36.547412,0 days 00:01:46.123159,256,0.30000000000000004,512,32,0.0067633479579157114,2,4,COMPLETE
27,0.02358560516898121,2024-05-07 16:23:36.548598,2024-05-07 16:27:26.114884,0 days 00:03:49.566286,32,0.2,64,32,0.0003073509871369816,3,4,COMPLETE
28,0.02318682319512873,2024-05-07 16:27:26.117790,2024-05-07 16:29:49.085865,0 days 00:02:22.968075,64,0.1,128,32,0.003301268583582229,3,1,COMPLETE
29,0.02357838334268834,2024-05-07 16:29:49.086942,2024-05-07 16:32:33.776359,0 days 00:02:44.689417,128,0.1,256,32,0.005600164852172947,2,4,COMPLETE
30,0.023718993002105327,2024-05-07 16:32:33.777325,2024-05-07 16:33:44.805370,0 days 00:01:11.028045,256,0.2,256,128,0.0012659955926303016,3,2,COMPLETE
31,0.02342679151999099,2024-05-07 16:33:44.806378,2024-05-07 16:38:10.387233,0 days 00:04:25.580855,256,0.30000000000000004,128,32,0.0008763040817771727,4,4,COMPLETE
32,0.02260203260396208,2024-05-07 16:38:10.388303,2024-05-07 16:40:58.383155,0 days 00:02:47.994852,256,0.30000000000000004,128,32,0.0024889388032324562,4,4,COMPLETE
33,0.02322011733693736,2024-05-07 16:40:58.384005,2024-05-07 16:42:18.119094,0 days 00:01:19.735089,256,0.30000000000000004,128,24,0.002466010299142337,4,4,COMPLETE
34,0.03590574053426584,2024-05-07 16:42:18.120090,2024-05-07 16:43:18.450714,0 days 00:01:00.330624,256,0.30000000000000004,128,32,0.009260893646883681,4,4,COMPLETE
35,0.02362195393042271,2024-05-07 16:43:18.451661,2024-05-07 16:49:34.303450,0 days 00:06:15.851789,32,0.30000000000000004,128,32,0.0004947707870224807,3,4,COMPLETE
36,0.0253366075810932,2024-05-07 16:49:34.304464,2024-05-07 16:50:03.863565,0 days 00:00:29.559101,256,0.4,256,64,0.004973404109436495,1,2,COMPLETE
37,0.02341963532602503,2024-05-07 16:50:03.864199,2024-05-07 16:51:27.656756,0 days 00:01:23.792557,256,0.30000000000000004,128,32,0.002580776990864107,4,4,COMPLETE
38,0.023188453908246684,2024-05-07 16:51:27.657546,2024-05-07 16:55:14.501621,0 days 00:03:46.844075,128,0.30000000000000004,64,256,0.0014495588832604826,4,8,COMPLETE
39,0.023917851201964147,2024-05-07 16:55:14.502679,2024-05-07 16:56:42.114241,0 days 00:01:27.611562,64,0.30000000000000004,128,24,0.00021238810512163865,2,4,COMPLETE
40,0.024174893186205908,2024-05-07 16:56:42.115134,2024-05-07 16:57:35.116724,0 days 00:00:53.001590,256,0.4,256,32,0.0005490083064776266,4,2,COMPLETE
41,0.02390242283720346,2024-05-07 16:57:35.117736,2024-05-07 16:58:39.162391,0 days 00:01:04.044655,256,0.30000000000000004,128,32,0.0010142283076494641,4,4,COMPLETE
42,0.023767586886173205,2024-05-07 16:58:39.163391,2024-05-07 17:00:02.631101,0 days 00:01:23.467710,256,0.30000000000000004,128,32,0.0036982901783103087,4,4,COMPLETE
43,0.02363296625125839,2024-05-07 17:00:02.632204,2024-05-07 17:02:41.874294,0 days 00:02:39.242090,128,0.30000000000000004,128,64,0.002131783637591566,4,8,COMPLETE
44,0.023428607421616714,2024-05-07 17:02:41.875335,2024-05-07 17:04:02.426551,0 days 00:01:20.551216,256,0.30000000000000004,128,32,0.0007125478631910729,3,4,COMPLETE
45,0.023937837232017155,2024-05-07 17:04:02.427543,2024-05-07 17:07:28.134518,0 days 00:03:25.706975,64,0.2,64,32,0.0013366563389818253,4,4,COMPLETE
46,0.025112183764576912,2024-05-07 17:07:28.135586,2024-05-07 17:08:42.772127,0 days 00:01:14.636541,256,0.30000000000000004,512,32,0.0043357589271454215,3,1,COMPLETE
47,0.02303989701682613,2024-05-07 17:08:42.773163,2024-05-07 17:10:49.269961,0 days 00:02:06.496798,256,0.2,128,128,0.002875530038195456,3,4,COMPLETE
48,0.030578625743233022,2024-05-07 17:10:49.271024,2024-05-07 17:13:19.090234,0 days 00:02:29.819210,256,0.2,128,128,0.005740895097509716,3,4,COMPLETE
49,0.02357733781848635,2024-05-07 17:13:19.091338,2024-05-07 17:16:55.266126,0 days 00:03:36.174788,256,0.2,128,128,6.391216271404046e-05,3,8,COMPLETE
