number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
0,0.8194261615112584,2024-06-11 11:46:05.659763,2024-06-11 11:59:19.196277,0 days 00:13:13.536514,32,256,32,0.2,7.931736726534899e-05,4,4,COMPLETE
1,0.4846970518198268,2024-06-11 11:59:19.197975,2024-06-11 12:00:30.203922,0 days 00:01:11.005947,32,64,128,0.2,0.0012557216543678783,2,2,COMPLETE
2,0.5724624199478933,2024-06-11 12:00:30.205241,2024-06-11 12:02:51.597466,0 days 00:02:21.392225,32,64,64,0.5,0.000365714114761732,4,2,COMPLETE
3,0.510454724137061,2024-06-11 12:02:51.598713,2024-06-11 12:03:21.140261,0 days 00:00:29.541548,256,256,256,0.30000000000000004,1.2465954693546176e-05,8,3,COMPLETE
4,0.5010778503867642,2024-06-11 12:03:21.141751,2024-06-11 12:04:20.284688,0 days 00:00:59.142937,256,64,64,0.1,7.334346568034102e-06,4,3,COMPLETE
5,0.44311319626980517,2024-06-11 12:04:20.285948,2024-06-11 12:05:41.494241,0 days 00:01:21.208293,64,64,32,0.30000000000000004,3.485581200974097e-06,2,4,COMPLETE
6,0.666006614862293,2024-06-11 12:05:41.495870,2024-06-11 12:10:37.392388,0 days 00:04:55.896518,32,64,128,0.2,5.5468862705973064e-05,2,2,COMPLETE
7,0.5171363056015936,2024-06-11 12:10:37.393681,2024-06-11 12:11:23.886985,0 days 00:00:46.493304,256,256,128,0.2,1.1408106894163429e-05,8,3,COMPLETE
8,0.8416178566481164,2024-06-11 12:11:23.888464,2024-06-11 12:13:00.747077,0 days 00:01:36.858613,256,64,64,0.1,0.003342265807610666,2,3,COMPLETE
9,0.8289589491046189,2024-06-11 12:13:00.748299,2024-06-11 12:14:40.772008,0 days 00:01:40.023709,128,128,256,0.1,4.8427742213013355e-05,8,3,COMPLETE
10,0.075933371379535,2024-06-11 12:14:40.773515,2024-06-11 12:16:10.596494,0 days 00:01:29.822979,128,32,64,0.5,0.006146840834333729,2,4,COMPLETE
11,0.22263514668952772,2024-06-11 12:16:10.597939,2024-06-11 12:16:40.492489,0 days 00:00:29.894550,128,128,256,0.1,0.009787731075757602,8,3,COMPLETE
12,0.8584796595689614,2024-06-11 12:16:40.494057,2024-06-11 12:19:00.016867,0 days 00:02:19.522810,128,128,256,0.1,0.0005304664390591041,8,3,COMPLETE
13,0.32469086899677496,2024-06-11 12:19:00.018466,2024-06-11 12:20:04.918111,0 days 00:01:04.899645,64,128,256,0.4,0.0011130837294499683,8,3,COMPLETE
14,0.8256533612448794,2024-06-11 12:20:04.919409,2024-06-11 12:21:11.939710,0 days 00:01:07.020301,256,32,64,0.1,0.0005258741769863617,2,2,COMPLETE
15,0.4635883036921127,2024-06-11 12:21:11.940910,2024-06-11 12:21:46.174424,0 days 00:00:34.233514,128,128,256,0.1,0.0029110739802948103,8,3,COMPLETE
16,0.537519612621555,2024-06-11 12:21:46.176208,2024-06-11 12:22:25.419213,0 days 00:00:39.243005,256,128,64,0.4,0.00027803515671243956,2,4,COMPLETE
17,0.8069373440333394,2024-06-11 12:22:25.420594,2024-06-11 12:23:37.473711,0 days 00:01:12.053117,128,32,32,0.2,0.00217862740894535,8,3,COMPLETE
18,0.7998742843591572,2024-06-11 12:23:37.475343,2024-06-11 12:28:09.468681,0 days 00:04:31.993338,64,64,64,0.30000000000000004,0.00016744401259707938,2,4,COMPLETE
19,0.5109826190614953,2024-06-11 12:28:09.470072,2024-06-11 12:28:54.536223,0 days 00:00:45.066151,256,128,256,0.1,1.3251630904199413e-06,4,2,COMPLETE
20,0.7069945664306428,2024-06-11 12:28:54.537674,2024-06-11 12:29:37.789284,0 days 00:00:43.251610,128,128,256,0.4,0.0008311578532427663,8,3,COMPLETE
21,0.8315169700006944,2024-06-11 12:29:37.790934,2024-06-11 12:31:30.101681,0 days 00:01:52.310747,128,128,256,0.1,4.562822791900442e-05,8,3,COMPLETE
22,0.8404007718782598,2024-06-11 12:31:30.103418,2024-06-11 12:32:42.129391,0 days 00:01:12.025973,128,128,256,0.1,0.00015170804132033286,8,3,COMPLETE
23,0.4082959211500925,2024-06-11 12:32:42.136613,2024-06-11 12:33:12.428576,0 days 00:00:30.291963,128,128,256,0.2,0.0027534746020373485,8,3,COMPLETE
24,0.8558337801215834,2024-06-11 12:33:12.430258,2024-06-11 12:36:04.307824,0 days 00:02:51.877566,128,128,256,0.1,0.0001562914635349933,8,3,COMPLETE
25,0.8196252894229326,2024-06-11 12:36:04.313503,2024-06-11 12:37:33.489549,0 days 00:01:29.176046,128,64,64,0.2,0.000571505073690934,2,3,COMPLETE
26,0.6973793336148841,2024-06-11 12:37:33.491359,2024-06-11 12:38:17.263301,0 days 00:00:43.771942,256,256,128,0.1,0.004888075911197126,8,2,COMPLETE
27,0.5001987950383029,2024-06-11 12:38:17.264487,2024-06-11 12:42:49.195337,0 days 00:04:31.930850,64,32,32,0.2,2.2749059329498517e-05,8,4,COMPLETE
28,0.859608542184736,2024-06-11 12:42:49.197108,2024-06-11 12:45:38.347796,0 days 00:02:49.150688,128,128,256,0.1,0.00017235312919499748,4,3,COMPLETE
29,0.8385830063691688,2024-06-11 12:45:38.349254,2024-06-11 12:48:11.560598,0 days 00:02:33.211344,128,128,256,0.2,0.00010863540873084739,4,4,COMPLETE
30,0.8548399663529538,2024-06-11 12:48:11.562153,2024-06-11 12:49:42.760691,0 days 00:01:31.198538,128,128,256,0.1,0.00024142697030921328,4,3,COMPLETE
31,0.8447659029076892,2024-06-11 12:49:42.762243,2024-06-11 12:51:51.103847,0 days 00:02:08.341604,128,128,256,0.1,0.0002306818598981507,4,3,COMPLETE
32,0.8409704025282999,2024-06-11 12:51:51.105149,2024-06-11 12:53:51.172547,0 days 00:02:00.067398,128,128,256,0.1,9.645257887897009e-05,4,3,COMPLETE
33,0.8257057143774439,2024-06-11 12:53:51.174132,2024-06-11 13:00:56.204766,0 days 00:07:05.030634,32,128,256,0.2,0.0003203770799154737,4,3,COMPLETE
34,0.8557139104243459,2024-06-11 13:00:56.236019,2024-06-11 13:03:11.596966,0 days 00:02:15.360947,128,128,256,0.1,0.0006459115491040017,4,3,COMPLETE
