number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_feed_forward_size,params_hidden_size,params_lr,params_num_blocks,params_num_heads,state
0,-1.235591316797647,2024-05-10 01:12:48.832091,2024-05-10 01:14:44.605045,0 days 00:01:55.772954,128,0.4,128,24,1.7525865444286703e-05,3,2,COMPLETE
1,-1.237722669948231,2024-05-10 01:14:44.606167,2024-05-10 01:15:54.629258,0 days 00:01:10.023091,64,0.2,512,64,3.7831071796417957e-05,2,4,COMPLETE
2,-1.2555775500479198,2024-05-10 01:15:54.630160,2024-05-10 01:18:27.164811,0 days 00:02:32.534651,256,0.30000000000000004,512,32,0.004282215419842931,2,8,COMPLETE
3,-1.2054952679258404,2024-05-10 01:18:27.165531,2024-05-10 01:19:36.504975,0 days 00:01:09.339444,64,0.30000000000000004,512,32,9.968458077875128e-05,2,4,COMPLETE
4,-1.2458320267229195,2024-05-10 01:19:36.505819,2024-05-10 01:20:51.546330,0 days 00:01:15.040511,128,0.2,512,256,0.000294972597491679,1,2,COMPLETE
5,-1.2327516694924028,2024-05-10 01:20:51.547009,2024-05-10 01:21:57.089904,0 days 00:01:05.542895,32,0.2,256,64,0.00015180532647248026,1,4,COMPLETE
6,-1.2204226056734722,2024-05-10 01:21:57.090896,2024-05-10 01:23:41.148415,0 days 00:01:44.057519,256,0.30000000000000004,64,24,8.70565125712531e-05,2,8,COMPLETE
7,-1.2301980950615623,2024-05-10 01:23:41.149134,2024-05-10 01:25:18.232193,0 days 00:01:37.083059,64,0.4,128,32,0.003232717886697747,3,1,COMPLETE
8,-1.2564685933495727,2024-05-10 01:25:18.233261,2024-05-10 01:28:25.839675,0 days 00:03:07.606414,32,0.30000000000000004,128,128,9.284363119509908e-05,2,8,COMPLETE
9,-1.2463864709391739,2024-05-10 01:28:25.840622,2024-05-10 01:34:04.787148,0 days 00:05:38.946526,64,0.4,256,32,0.0021377660699790605,4,2,COMPLETE
10,-1.2416584306937222,2024-05-10 01:34:04.788006,2024-05-10 01:40:24.696422,0 days 00:06:19.908416,32,0.1,128,128,0.0007909117722998409,4,8,COMPLETE
11,-1.1165815009957267,2024-05-10 01:40:24.697297,2024-05-10 01:41:38.658665,0 days 00:01:13.961368,256,0.30000000000000004,64,128,0.006933869160037608,2,8,COMPLETE
12,-1.1559045882452101,2024-05-10 01:41:38.659320,2024-05-10 01:42:08.383503,0 days 00:00:29.724183,256,0.30000000000000004,512,128,0.000686973472516307,1,8,COMPLETE
13,-1.2429508568668075,2024-05-10 01:42:08.384101,2024-05-10 01:48:12.962083,0 days 00:06:04.577982,32,0.1,128,256,0.0007954403366027873,3,8,COMPLETE
14,-1.2345616420110066,2024-05-10 01:48:12.963162,2024-05-10 01:49:49.843768,0 days 00:01:36.880606,256,0.30000000000000004,512,128,1.2895128540950205e-05,2,1,COMPLETE
15,-1.2458498050376636,2024-05-10 01:49:49.844439,2024-05-10 01:52:06.491386,0 days 00:02:16.646947,32,0.2,128,32,0.0066201932428170745,3,8,COMPLETE
16,-1.1010432349331112,2024-05-10 01:52:06.492286,2024-05-10 01:54:39.798774,0 days 00:02:33.306488,32,0.4,256,128,4.866092626418159e-05,1,8,COMPLETE
17,-1.2504259120850336,2024-05-10 01:54:39.799673,2024-05-10 01:56:20.251309,0 days 00:01:40.451636,256,0.30000000000000004,64,32,0.00031776454265904606,2,8,COMPLETE
18,-1.2424195530902908,2024-05-10 01:56:20.251990,2024-05-10 01:57:11.266644,0 days 00:00:51.014654,128,0.2,512,24,0.002024642006532557,3,1,COMPLETE
19,-1.2074728506676695,2024-05-10 01:57:11.267282,2024-05-10 01:58:18.309934,0 days 00:01:07.042652,32,0.4,128,64,0.00029544630162443115,1,8,COMPLETE
20,-1.2361339273906888,2024-05-10 01:58:18.310836,2024-05-10 02:02:19.497682,0 days 00:04:01.186846,256,0.30000000000000004,512,256,3.281517956542113e-05,2,8,COMPLETE
21,-1.2378965020179749,2024-05-10 02:02:19.498374,2024-05-10 02:03:19.010679,0 days 00:00:59.512305,256,0.30000000000000004,64,32,0.0004390307587549419,2,8,COMPLETE
22,-1.2412271272568476,2024-05-10 02:03:19.011313,2024-05-10 02:04:58.226589,0 days 00:01:39.215276,256,0.30000000000000004,64,32,0.00017506134056551905,2,8,COMPLETE
23,-1.2498694573129927,2024-05-10 02:04:58.227325,2024-05-10 02:06:02.398414,0 days 00:01:04.171089,256,0.30000000000000004,64,32,7.128570338898698e-05,2,8,COMPLETE
24,-1.256927484557742,2024-05-10 02:06:02.399054,2024-05-10 02:07:25.628142,0 days 00:01:23.229088,256,0.2,64,32,0.0014059893206820105,3,8,COMPLETE
25,-1.2551131078175135,2024-05-10 02:07:25.628775,2024-05-10 02:09:42.006495,0 days 00:02:16.377720,256,0.1,64,128,0.004046337055787434,4,8,COMPLETE
26,-1.2434227169465875,2024-05-10 02:09:42.007200,2024-05-10 02:13:58.871540,0 days 00:04:16.864340,32,0.2,128,32,0.0014511112651563293,3,2,COMPLETE
27,-1.243439733263958,2024-05-10 02:13:58.872556,2024-05-10 02:15:21.251149,0 days 00:01:22.378593,128,0.2,256,32,0.0013401878352137624,3,1,COMPLETE
28,-1.1628906414622353,2024-05-10 02:15:21.252535,2024-05-10 02:17:23.271226,0 days 00:02:02.018691,256,0.2,512,128,0.004417303147463993,3,4,COMPLETE
29,-1.2417427516845336,2024-05-10 02:17:23.271921,2024-05-10 02:18:50.991597,0 days 00:01:27.719676,128,0.4,128,24,0.00935795791153835,3,2,COMPLETE
30,-1.2412163310862603,2024-05-10 02:18:50.992515,2024-05-10 02:35:12.964723,0 days 00:16:21.972208,32,0.1,64,256,0.002304964676672385,4,8,COMPLETE
31,-1.247211476167043,2024-05-10 02:35:12.966165,2024-05-10 02:38:51.660817,0 days 00:03:38.694652,256,0.1,64,128,0.004260941510850053,4,8,COMPLETE
32,-1.2547827448163713,2024-05-10 02:38:51.661476,2024-05-10 02:42:21.786480,0 days 00:03:30.125004,256,0.1,64,128,0.0035384671177555887,4,8,COMPLETE
33,-1.248254651115054,2024-05-10 02:42:21.787365,2024-05-10 02:44:54.533930,0 days 00:02:32.746565,256,0.1,64,128,0.0012452662868663175,4,8,COMPLETE
34,-1.2126387386611013,2024-05-10 02:44:54.534585,2024-05-10 02:46:21.300879,0 days 00:01:26.766294,64,0.2,512,64,0.005510457857657906,2,4,COMPLETE
35,-1.1972414482207525,2024-05-10 02:46:21.301593,2024-05-10 02:48:12.928089,0 days 00:01:51.626496,256,0.30000000000000004,64,128,2.5425220240962198e-05,3,8,COMPLETE
36,-1.2493726866585868,2024-05-10 02:48:12.928794,2024-05-10 02:48:33.760484,0 days 00:00:20.831690,256,0.2,128,32,0.009788537651668318,1,4,COMPLETE
37,-1.2503444758328524,2024-05-10 02:48:33.761119,2024-05-10 02:54:17.273366,0 days 00:05:43.512247,64,0.1,512,64,0.00016521222292065167,4,8,COMPLETE
38,-1.2413626650729812,2024-05-10 02:54:17.274281,2024-05-10 02:55:57.467702,0 days 00:01:40.193421,128,0.30000000000000004,256,24,0.003075280313922923,2,2,COMPLETE
39,-1.2442140891438438,2024-05-10 02:55:57.468568,2024-05-10 02:57:00.132821,0 days 00:01:02.664253,256,0.2,64,32,0.00011451548101886169,4,8,COMPLETE
40,-1.2465142524351103,2024-05-10 02:57:00.133737,2024-05-10 03:02:01.791928,0 days 00:05:01.658191,32,0.4,128,128,0.0006063009101815187,2,1,COMPLETE
41,-1.2523676667894637,2024-05-10 03:02:01.792980,2024-05-10 03:03:52.563409,0 days 00:01:50.770429,256,0.1,64,128,0.0031238501080710994,4,8,COMPLETE
42,-1.232046467917306,2024-05-10 03:03:52.564137,2024-05-10 03:05:18.077447,0 days 00:01:25.513310,256,0.1,64,128,0.004589366379963926,4,8,COMPLETE
43,-1.2462905872435797,2024-05-10 03:05:18.078199,2024-05-10 03:08:30.429527,0 days 00:03:12.351328,256,0.1,64,128,0.0018431916871911294,4,8,COMPLETE
44,-1.2391663647833324,2024-05-10 03:08:30.430269,2024-05-10 03:10:34.423329,0 days 00:02:03.993060,256,0.1,64,128,0.0009938375368119074,4,8,COMPLETE
